date,AG:HCS,U:EFIV,A:VEFIX,A:VGADX,U:VDE,U:GII,A:IAFX,Z:MZYZ,Z:USMZ,A:BGBLX,U:TEI,@MSFT,Z:NZBB,U:EUAD,U:BBMC,U:SPHY,Z:SSP1,A:ESTXX,@IBIT
2000-01-31,,,,,,,,,,,128.58,50330.68,,,,,,,
2000-02-29,,,,,,,,,,,129.42,45959.69,,,,,,,
2000-03-31,,,,,,,,,,,131.83,54637.39,,,,,,,
2000-04-30,,,,,,,,,,,129.22,35867.84,,,,,,,
2000-05-31,,,,,,,,,,,129.22,32171.78,,,,,,,
2000-06-30,,,,,,,,,,,143.09,41138.74,,,,,,,
2000-07-31,,,,,,,,,,,149.35,35899.98,,,,,,,
2000-08-31,,,,,,,,,,,152.04,35899.98,,,,,,,
2000-09-30,,,,,,,,,,,149.32,31014.75,,,,,,,
2000-10-31,,,,,,,,,,,142.86,35417.88,,,,,,,
2000-11-30,,,,,,,,,,,138.26,29504.19,,,,,,,
2000-12-31,,,,,,,,,,,147.41,22304.91,,,,,,,
2001-01-31,,,,,,,,,,,163.57,31400.43,,,,,,,
2001-02-28,,,,,,,,,,,161.29,30339.82,,,,,,,
2001-03-31,,,,,,,,,,,163.73,28122.18,,,,,,,
2001-04-30,,,,,,,,,,,159.03,34839.37,,,,,,,
2001-05-31,,,,,,,,,,,170.15,35574.72,,,,,,,
2001-06-30,,,,,,,,,,,176.88,37539.1,,,,,,,
2001-07-31,,,,,,,,,,,167.7,34037.16,,,,,,,
2001-08-31,,,,,,,,,,,176.08,29337.06,,,,,,,
2001-09-30,,,,,,,,,,,167.2,26313.37,,,,,,,
2001-10-31,,,,,,,,,,,171.18,29902.72,,,,,,,
2001-11-30,,,,,,,,,,,180.15,33018.98,,,,,,,
2001-12-31,,,,,,,,,,,182.47,34068.02,,,,,,,
2002-01-31,,,,,,,,,,,195.14,32761.86,,,,,,,
2002-02-28,,,,,,,,,,,200.27,30000.43,,,,,,,
2002-03-31,,,,,,,,,,,206.45,31013.46,,,,,,,
2002-04-30,,,,,,,,,,,212.6,26873.88,,,,,,,
2002-05-31,,,,,,,,,,,217.52,26179.66,,,,,,,
2002-06-30,,,,,,,,,,,195.91,28128.61,,,,,,,
2002-07-31,,,,,,,,,,,189.58,24672.96,,,,,,,
2002-08-31,,,,,,,,,,,198.8,25238.61,,,,,,,
2002-09-30,,,,,,,,,,,195.51,22492.6,,,,,,,
2002-10-31,,,,,,,,,,,204.43,27496.1,,,,,,,
2002-11-30,,,,,,,,,,,207.96,29661.03,,,,,,,
2002-12-31,,,,,,,,,,,220.47,26585.91,,,,,,,
2003-01-31,,,,,,,,,,,224.86,24405.55,,,,,,,
2003-02-28,,,,,,,,,,,230.77,24454.2,,,,,,,
2003-03-31,,,,,,,,,,,224.13,24980.42,,,,,,,
2003-04-30,,,,,,,,,,,232.31,26373.38,,,,,,,
2003-05-31,,,,,,,,,,,242.06,25393.14,,,,,,,
2003-06-30,,,,,,,,,,,242.22,26455.93,,,,,,,
2003-07-31,,,,,,,,,,,237.65,27250.43,,,,,,,
2003-08-31,,,,,,,,,,,247.0,27363.93,,,,,,,
2003-09-30,,,,,,,,,,,253.76,28684.66,,,,,,,
2003-10-31,,,,,,,,,,,254.37,27120.3,,,,,,,
2003-11-30,,,,,,,,,,,257.61,26674.16,,,,,,,
2003-12-31,,,,,,,,,,,277.75,28396.42,,,,,,,
2004-01-31,,,,,,,,,,,287.47,28686.92,,,,,,,
2004-02-29,,,,,,,,,,,277.34,27524.92,,,,,,,
2004-03-31,,,,,,,,,,,294.14,25864.91,,,,,,,
2004-04-30,,,,,,,,,,,243.02,27109.91,,,,,,,
2004-05-31,,,,,,,,,,,244.28,27213.67,,,,,,,
2004-06-30,,,,,,,,,,,247.57,29631.05,,,,,,,
2004-07-31,,,,,,,,,,,268.2,29558.41,,,,,,,
2004-08-31,,,,,,,,,,,275.51,28406.97,,,,,,,
2004-09-30,,,,,100.9,,,101.89,,,282.54,28771.17,,,,,,,
2004-10-31,,,,,100.76,,,108.78,,,293.49,29104.13,,,,,,,
2004-11-30,,,,,108.35,,,115.8,,,293.27,31034.13,,,,,,,
2004-12-31,,,,,105.32,,,119.03,,,306.78,30929.94,,,,,,,
2005-01-31,,,,,109.25,,,121.46,,,318.82,30420.63,,,,,,,
2005-02-28,,,,,127.34,,,120.13,,,319.71,29214.01,,,,,,,
2005-03-31,,,,,123.78,,,116.08,,,299.87,28064.5,,,,,,,
2005-04-30,,,,,116.11,,,110.21,,,303.96,29376.57,,,,,,,
2005-05-31,,,,,119.76,,,113.99,,,304.64,30051.15,,,,,,,
2005-06-30,,,,,128.12,,,122.09,,,321.29,28932.98,,,,,,,
2005-07-31,,,,,137.49,,,129.65,,,320.83,29829.84,,,,,,,
2005-08-31,,,,,146.09,,,129.65,,,308.33,31985.54,,,,,,,
2005-09-30,,,,,155.77,,,139.65,,,322.93,30058.0,,,,,,,
2005-10-31,,,,,141.83,,,126.95,,,314.0,30022.95,,,,,,,
2005-11-30,,,,,144.16,,,133.43,,,312.35,32430.07,,,,,,,
2005-12-31,,,,,146.44,,,138.84,,,298.02,30637.51,,,,,,,
2006-01-31,,,,,167.46,,,143.16,,,317.22,32980.73,,,,,,,
